Using device: cuda
Path to dataset files: /home/airhust/.cache/kagglehub/datasets/sumanthvrao/daily-climate-time-series-data/versions/3
Train samples: 1448, Test samples: 100
Epoch 001 | train MSE 0.9684 | test MSE 0.7905
Epoch 002 | train MSE 0.9329 | test MSE 0.7684
Epoch 003 | train MSE 0.8754 | test MSE 0.6883
Epoch 004 | train MSE 0.7551 | test MSE 0.5551
Epoch 005 | train MSE 0.5979 | test MSE 0.8310
Epoch 006 | train MSE 0.6112 | test MSE 0.7399
Epoch 007 | train MSE 0.5453 | test MSE 0.6647
Epoch 008 | train MSE 0.5174 | test MSE 0.6997
Epoch 009 | train MSE 0.5183 | test MSE 0.6978
Epoch 010 | train MSE 0.5044 | test MSE 0.7662
Epoch 011 | train MSE 0.4951 | test MSE 1.0490
Epoch 012 | train MSE 0.4921 | test MSE 0.9991
Epoch 013 | train MSE 0.4818 | test MSE 0.7921
Epoch 014 | train MSE 0.4733 | test MSE 0.7440
Epoch 015 | train MSE 0.4683 | test MSE 0.7874
Epoch 016 | train MSE 0.4610 | test MSE 0.8242
Epoch 017 | train MSE 0.4539 | test MSE 0.8208
Epoch 018 | train MSE 0.4432 | test MSE 0.8239
Epoch 019 | train MSE 0.4342 | test MSE 0.7750
Epoch 020 | train MSE 0.4219 | test MSE 0.6861
Epoch 021 | train MSE 0.4072 | test MSE 0.7811
Epoch 022 | train MSE 0.3881 | test MSE 0.6063
Epoch 023 | train MSE 0.3607 | test MSE 0.5585
Epoch 024 | train MSE 0.3151 | test MSE 0.5114
Epoch 025 | train MSE 0.2750 | test MSE 0.4107
Epoch 026 | train MSE 0.2805 | test MSE 0.4547
Epoch 027 | train MSE 0.2995 | test MSE 0.5720
Epoch 028 | train MSE 0.3337 | test MSE 0.5217
Epoch 029 | train MSE 0.2822 | test MSE 0.4265
Epoch 030 | train MSE 0.2338 | test MSE 0.3984
Epoch 031 | train MSE 0.2184 | test MSE 0.3690
Epoch 032 | train MSE 0.2200 | test MSE 0.3637
Epoch 033 | train MSE 0.2098 | test MSE 0.3613
Epoch 034 | train MSE 0.2069 | test MSE 0.3985
Epoch 035 | train MSE 0.2050 | test MSE 0.3753
Epoch 036 | train MSE 0.1958 | test MSE 0.3718
Epoch 037 | train MSE 0.2018 | test MSE 0.3704
Epoch 038 | train MSE 0.2028 | test MSE 0.2932
Epoch 039 | train MSE 0.1977 | test MSE 0.4184
Epoch 040 | train MSE 0.2268 | test MSE 0.3993
Epoch 041 | train MSE 0.1864 | test MSE 0.3289
Epoch 042 | train MSE 0.1822 | test MSE 0.3461
Epoch 043 | train MSE 0.1739 | test MSE 0.3395
Epoch 044 | train MSE 0.1662 | test MSE 0.2929
Epoch 045 | train MSE 0.1603 | test MSE 0.3316
Epoch 046 | train MSE 0.1566 | test MSE 0.2607
Epoch 047 | train MSE 0.1515 | test MSE 0.2848
Epoch 048 | train MSE 0.1506 | test MSE 0.2830
Epoch 049 | train MSE 0.1520 | test MSE 0.2163
Epoch 050 | train MSE 0.1489 | test MSE 0.2930
Epoch 051 | train MSE 0.1639 | test MSE 0.2260
Epoch 052 | train MSE 0.1499 | test MSE 0.2611
Epoch 053 | train MSE 0.1517 | test MSE 0.1979
Epoch 054 | train MSE 0.1494 | test MSE 0.3126
Epoch 055 | train MSE 0.1514 | test MSE 0.2923
Epoch 056 | train MSE 0.1474 | test MSE 0.2051
Epoch 057 | train MSE 0.1429 | test MSE 0.3114
Epoch 058 | train MSE 0.1450 | test MSE 0.2116
Epoch 059 | train MSE 0.1434 | test MSE 0.2432
Epoch 060 | train MSE 0.1411 | test MSE 0.2649
Epoch 061 | train MSE 0.1407 | test MSE 0.2286
Epoch 062 | train MSE 0.1387 | test MSE 0.2277
Epoch 063 | train MSE 0.1373 | test MSE 0.2369
Epoch 064 | train MSE 0.1402 | test MSE 0.2009
Epoch 065 | train MSE 0.1391 | test MSE 0.2233
Epoch 066 | train MSE 0.1354 | test MSE 0.2258
Epoch 067 | train MSE 0.1348 | test MSE 0.2145
Epoch 068 | train MSE 0.1346 | test MSE 0.2033
Epoch 069 | train MSE 0.1329 | test MSE 0.2149
Epoch 070 | train MSE 0.1335 | test MSE 0.2149
Epoch 071 | train MSE 0.1316 | test MSE 0.2336
Epoch 072 | train MSE 0.1316 | test MSE 0.1927
Epoch 073 | train MSE 0.1323 | test MSE 0.1915
Epoch 074 | train MSE 0.1296 | test MSE 0.2162
Epoch 075 | train MSE 0.1278 | test MSE 0.2023
Epoch 076 | train MSE 0.1263 | test MSE 0.2017
Epoch 077 | train MSE 0.1256 | test MSE 0.2079
Epoch 078 | train MSE 0.1241 | test MSE 0.2205
Epoch 079 | train MSE 0.1264 | test MSE 0.2012
Epoch 080 | train MSE 0.1229 | test MSE 0.2072
Epoch 081 | train MSE 0.1252 | test MSE 0.2514
Epoch 082 | train MSE 0.1268 | test MSE 0.2465
Epoch 083 | train MSE 0.1214 | test MSE 0.1948
Epoch 084 | train MSE 0.1188 | test MSE 0.2188
Epoch 085 | train MSE 0.1192 | test MSE 0.2256
Epoch 086 | train MSE 0.1165 | test MSE 0.1941
Epoch 087 | train MSE 0.1163 | test MSE 0.2794
Epoch 088 | train MSE 0.1166 | test MSE 0.1983
Epoch 089 | train MSE 0.1154 | test MSE 0.2189
